company,company_url,amount_usd_millions,amount_reported_millions,reported_currency,stage,lead_investor,announced,source,source_url,also_reported_by
InRisk Labs,https://insurtechdaily.io/company/inrisk-labs/,27,27,USD,Series A,,2026-08-08,Indian Startup News,https://news.google.com/rss/articles/CBMi2wFBVV95cUxOX3dGb0hTa2xqWFVGa2FBQ01oOUYwRHBGWGJFMWlGYWRySFM2cWpCNFRUU1lUNndxaG9JRmhIWlNTaS1DWlBuQkFYU01OQ01aQVNkQ1B4Z0t0WDRUR3BJMlE0ZmVPQkRhTWRvTjI2WTF2R1VkRV9XU1ppMm1YNkNVMzBHbmNJc09kTHJ1d1BYdUMxbDBnUmJvLV9DU0JsV0REbGQzamduUzJ1R3BBQkRPZDVXUExKT08zVTBVMXlqekNyZHVlMDF3SXBaVTByX2MyMDk5Tk5WNkJNTWvSAdsBQVVfeXFMTl93Rm9IU2tsalhVRmthQUNNaDlGMERwRlhiRTFpRmFkckhTNnFqQjRUVFNZVDZ3cWhvSUZoSFpTU2ktQ1pQbkJBWFNNTkNNWkFTZENQeGdLdFg0VEdwSTJRNGZlT0JEYU1kb04yNlkxdkdVZEVfV1NaaTJtWDZDVTMwR25jSXNPZExydXdQWHVDMWwwZ1Jiby1fQ1NCbFdERGxkM2pnblMydUdwQUJET2Q1V1BMSk9PM1UwVTF5anpDcmR1ZTAxd0lwWlUwcl9jMjA5OU5OVjZCTU1r?oc=5,theinsurer.com; YourStory.com; CXO Digitalpulse
Corgi,https://insurtechdaily.io/company/corgi/,30,30,USD,,Yunfeng,2026-08-05,Beinsure,https://news.google.com/rss/articles/CBMihgFBVV95cUxOb1FEV3BHbGV1RnBTeG1KM3l4VkhVSVpxX3dQWkhpckZXckowUnZLdWtPVXlkSFQzX0dLaDRfNW93NUdJcXZLTXJNY09yX1E5OVBkcVlWU0JKU3JvRGV1ZTVKRDZNcU9VNS1tcUgxR0l1cHdYSzlHZnM3N3pMY2xtR2dfemQtQQ?oc=5,
Faye,https://insurtechdaily.io/company/faye/,50,50,USD,Series C,Madrona,2026-08-05,Beinsure,https://news.google.com/rss/articles/CBMigwFBVV95cUxPZHhmYmJaZlJBLTZfZ3BGeDVrZFZjdmx5YlVCaEhhRUlhS3lJdHBuVUJ4MUw4ZGdkdGs1WFk3WUVuVGxuZm1wNGF3d3N6aXFyLVZNbEVMX3NGMllQTFA3QlloR0xSS3BCTUhrNlYxeHFWYmVjQllfMkV5cWZvQ3hPQjBRMA?oc=5,citybiz; Richmond BizSense; Skift
Advocate Technologies,https://insurtechdaily.io/company/advocate-technologies/,18,18,USD,,,2026-08-04,citybiz,https://news.google.com/rss/articles/CBMiywFBVV95cUxNczE2Qjl1SDBqcTJZQU8zNmRLSnkwbWpyelUwd0k1dFBZMHdqajBOTnBlMzhFa3cwcHQyRUZhNGJQQ3pLQlNGY2ZLUmIyU2IyQTBtT0NsRnhXMDRKRlZpcTgybEdscWVZcVU2UFlQTUJzNkJ5TXFuN0F4R3Y1VW1uUVBfOGZwODB6M1pleEVDZ2NKUnFVeVMtUGNYRmFXVHVZYXE1U3FYQm82dTJkT1h3b2h0UVpUdi1ONHFxVVdSeVp3a2hrdjZyOEppNA?oc=5,
Curant.ai,https://insurtechdaily.io/company/curant-ai/,3.1,3.1,USD,,,2026-07-29,Coverager,https://coverager.com/curant-ai-raises-3-1-million/,FinTech Global
Terminal,https://insurtechdaily.io/company/terminal/,20,20,USD,,,2026-07-29,Coverager,https://coverager.com/terminal-raises-20-million/,
AGI,,70,70,USD,,,2026-07-27,FinTech Global,https://news.google.com/rss/articles/CBMimwFBVV95cUxOcV8wVk1GdjEyRERYTmwyRDZoR250TGo4X09JTHFueHRjbVdWY1ZTQ01wZG1kZmo4Vkw1Tmxxczlia3dRTDJCcGVyc0N6ZWhsWDZmMHNuNTRKVlh5eGRLdVFOVjVKdUJMYjNzbFQ5SC1nQlR3MDFkbklsSzdtVkdMUU1lZWQ4dmxDZnhraGc1amNXS1JyTXZzV1QtWQ?oc=5,
Ominimo,https://insurtechdaily.io/company/ominimo/,21.708,20.1,EUR,,,2026-07-27,Insurance Nerds,https://news.google.com/rss/articles/CBMi3wFBVV95cUxPYUVXVTBxNmRQS3B0Q3I4ZDBEcDQzZy1PS1ZqN1FMRHgteDAySWVyQ2VyMFBseGdMTkdIUDRzenh5ZzRLVzZqM2lVSWdWMW1tWFY1YkFhOVBxanFZQ1M0YTA3T0FsNG5aeExGblNCbnZucWNORzJpeFRyaWJYUVFjNThYOHhaMWxEQ2dlVi1uMFNyY3U3QXFjZXNxd1NGd2dlbnZoNE5WRUFFdElxcElJbVhmUHJPZmJOX1FVWGZmUmRicXRWRnVrVFJ6RXBDTUZQajlpTmdHX090U1hHVUtz0gHfAUFVX3lxTE9hRVdVMHE2ZFBLcHRDcjhkMERwNDNnLU9LVmo3UUxEeC14MDJJZXJDZXIwUGx4Z0xOR0hQNHN6eHlnNEtXNmozaVVJZ1YxbW1YVjViQWE5UHFqcVlDUzRhMDdPQWw0blp4TEZuU0Judm5xY05HMml4VHJpYlhRUWM1OFg4eFoxbERDZ2VWLW4wU3JjdTdBcWNlc3F3U0Z3Z2Vudmg0TlZFQUV0SXFwSUltWGZQck9mYk5fUVVYZmZSZGJxdFZGdWtUUnpFcENNRlBqOWlOZ0dfT3RTWEdVS3M?oc=5,
Klaimee,https://insurtechdaily.io/company/klaimee/,5.5,5.5,USD,,,2026-07-27,quasa.io,https://news.google.com/rss/articles/CBMifkFVX3lxTE13VWpoUE91WmFZRmZyN1FjMHBmV0hQa1RFQ2thYUJiOHp6N3JGVUtKTzZqMERPSlQyclZ6ZmpEV1R3UDlZVDVKNjRGSTdadFZObTRIdklDZFlCRldweW9ETzMxWDNndDBCTmhaSldlNUZMOENBQVBWTXZlOW1JUQ?oc=5,Beinsure; FinTech Global
NeuralKart,https://insurtechdaily.io/company/neuralkart/,0.282,23.5,INR,Seed,Inflection Point Ventures,2026-07-23,Whalesbook,https://news.google.com/rss/articles/CBMi3gFBVV95cUxPeE1FeUhTQnp2M3I0a3hQV01JQl9teHpJVkJZbkdpUzRUWjdZMDdwR0lrVnhfc0x1QnBhZmFiMHR2S1RiN0FLdU1nT1F6T2s2RTU3NDRhS2NDcklzUmtsN3RIWUhmalpjQlBDeEVJbjJmRTM0QTVGSXlPcVFlWmNkQ3VHUXBBMkNseDlVOXQwN2lUaWFvdkRvV09nSjdneFpKaGc1UTJiaVRRY1AyLUNSTGl5Z1p0ZVljQ2RXRllmY0J1akRpWm1jaVhMN182RkZDb1pCMDZhMTg2MEI5S2c?oc=5,India Technology News; Indian Startup Times; Local Samosa; Indian Startup News; My Startup World
Coverwatch,https://insurtechdaily.io/company/coverwatch/,4.5,4.5,USD,Pre-seed,,2026-07-23,Beinsure,https://news.google.com/rss/articles/CBMiekFVX3lxTE1QWXU4aWdCa09HUzRDT2xUd0l1TGxUVWh5TnppbjlyUDRtZ09NX3ZTc0NtLTRvZ1R0NFlUTkh6TWhGTW00NjUzblBFNzdrcmVLcnFZZlBFXzZRR1o1SDJTNHpYX3NTeWU2QkxqeEdob0JoYm1WbHZPZ0Z3?oc=5,
Cover Genius,https://insurtechdaily.io/company/cover-genius/,100,100,USD,,Vista Credit Partners,2026-07-17,Insurance Nerds,https://news.google.com/rss/articles/CBMiqAFBVV95cUxQZmdzeUxPYXZNQzZscTE4NkJyUTZTY0NGZDlXNGx1aElMUWtWcF9qX29PbkNzYlYzWTF4ZWttN29VSFhSUGNYNmpNUHVWTnJTZXFXM241NFpuSEV2SFRKbGh4ZndWd0UxdVBfSEpfc05YMVhJZW4zX0IxRnlfall5am9ZTFNVdENHOTV4YkptZWFiZkpjZm51WUY0eThMbVAwU3ljbFRfOWLSAbgBQVVfeXFMT1ZKNEdKQ1lSZGN6cFlMYWtVdUxuTV9yODFoOU5SRmJuNGU3Q2pBdWZPVU0zdDQtSm45WnFKZk03VXZFdm1rdkpoSTBzU3MxUlhsb2s2M1Q0cGlTSllLdlV6dTZndl9heG5qSy1NSWVLNE5zdWVsTGNlTHRsVVppSGJMVkRfeTZFTUVLWU1Renpuc3ZuZTYzNHBGTXllZEdwZFJlVWlsdzVLZzlZWnJzODBCckZUZURrMg?oc=5,FinTech Futures; Tech Times; Beinsure; citybiz; Business Wire
American Growth Insurance,https://insurtechdaily.io/company/american-growth-insurance/,70,70,USD,,,2026-07-15,Insurance Nerds,https://news.google.com/rss/articles/CBMiwAFBVV95cUxQZ2VZc0FfblZCQk5qMFhjbWVhdUJQX3N1TE1HdlYtV1BabGdXOXU0YUxOcW56OXJiaEQxaFd0UmFMem94eXp0aGgwaVozc2VabXp4dGxEZnFUS0xLb3RlMVp2blFPb21mUXFzVms4eTZVRm5meWN3M2w3c1NsMHhhUHVwcnJ1cFBSV01yOU9jOFZxNFRNVkpmSV8tUUVDVTRwZllabmFINW1idlJTRXA2YWlBckpYTktmazVFaThIWWnSAdABQVVfeXFMTTFGdTZfVm05b09zc3MtdGhmbENDWkpWSk5kOUtBTHNScWF6QktvTzVhSXVkclkxdWZWZWNpSktHMUY2cExBLUJobDJtLXRuVDByR1BLLWN5cVg2d241WUJtVFkwQkNrRmNUU0JWNEhfbVlsLTZPYXRkOFcwRWpFTGloMUlCVmszNmVXdHJDd2t3eFkzWjNrVHVad1ZOMTFFZTVRa0pISHQxOWRlbzlva0MtN2cwTGNMdTRmY0hMOVFKSjlIRUlJLTB5YkRaWjU2ag?oc=5,
PolicyStreet,https://insurtechdaily.io/company/policystreet/,26,26,USD,Series C,BlueOrchard,2026-07-14,Insurance Nerds,https://news.google.com/rss/articles/CBMipwFBVV95cUxNNlNUUW11YUx1V1FwV2xUVHVacXUweVN4YWc5YlRsV3dyYzFqY2EtcVlEa2JjZTdNUlBlZ2FSZUNvWnNUbzlQN3lUZEhmd1B0OHkwY2pKRUNNNDUyLTBjalEyeXpVbXlFdmNOenBiOVQ3c3hBZHNrUEZ2NjZuV2xyRk1hS3BSSzRDSUtkWE5lRWNWcVdIS2xiOHAyb0FCaHdCMlFDZ0RNSdIBtwFBVV95cUxNWFFiTkc4ZVFZY216NVlmVUhnSGw5Yko1VUh6SFVwUEowR0w2TlphTWlDZGVmLUVYcG1Xc3ZBdmNxYk1BSkdTZUp3OFNEdDA5RGdSSk9aaEF2cjVBVTFoQ2F6M0RoLW84dkczbWRWLXJDYlhhLXBzXzFoWDYzbm54Y0VKcjJQeGp2VE9sSEVnS25LSklYeU5wZXN4eENDTlprUTNMQWZGWjQydXJkM2FaaWVCNnp4ZFU?oc=5,Beinsure; Digital News Asia
Adaptive Insurance,https://insurtechdaily.io/company/adaptive-insurance/,5,5,USD,,,2026-07-07,theinsurer.com,https://news.google.com/rss/articles/CBMi0AFBVV95cUxPV0lMTktiQXpzS2FESG9rNTFOMjdpOW5sQkI2c2t4U3NZS2x2V2JVZVE1NlpCR204eVhjV3FrZ3VneEJIaDFVQTVjcmFpNThvaUZUTVcyckpzeEg5YXF1dmY3c0RKckNwUnNjZXRmLTVBSHJDcUtld0pyTXQxU2x6VlNLdHVzWkpIMkxISnlKZ1hZUDhoMHE0OXJ5MFpOMVBMNUlma242MDVPTWc3WXpnSTNfV040WG1vUlpFZ0w3WS1NWi1UZEpGOXQyMC1HYkZk?oc=5,
