acquirer,acquirer_url,target,target_url,seller,deal_type,price_disclosed,amount_usd_millions,amount_reported_millions,reported_currency,announced,source,source_url,also_reported_by
Cleversoft,https://insurtechdaily.io/company/cleversoft/,FS Assist,https://insurtechdaily.io/company/fs-assist/,,Acquisition,no,,,,2026-08-11,Finextra,https://www.finextra.com/pressarticle/110616/cleversoft-to-buy-fs-assist-to-expand-insurance-reporting-footprint?utm_medium=rssfinextra&utm_source=finextrafeed,
FM,https://insurtechdaily.io/company/fm/,FortressFire,https://insurtechdaily.io/company/fortressfire/,,Acquisition,no,,,,2026-08-11,Insurance Business,https://www.insurancebusinessmag.com/us/news/mergers-acquisitions/fm-bets-on-structurelevel-wildfire-science-with-fortressfire-acquisition-585693.aspx,Reinsurance News
Marsh McLennan Agency,https://insurtechdaily.io/company/marsh-mclennan-agency/,Accel,https://insurtechdaily.io/company/accel/,,Acquisition,no,,,,2026-08-11,Insurtech Insights,https://www.insurtechinsights.com/marsh-mclennan-agency-to-acquire-accel-holdings/,
Westland Insurance,https://insurtechdaily.io/company/westland-insurance/,Interior Savings Insurance,https://insurtechdaily.io/company/interior-savings-insurance/,,Acquisition,no,,,,2026-08-10,Coverager,https://coverager.com/westland-insurance-acquires-interior-savings-insurance/,
Cover Genius,https://insurtechdaily.io/company/cover-genius/,Friendsurance,https://insurtechdaily.io/company/friendsurance/,,Acquisition,no,,,,2026-08-09,Crowdfund Insider,https://news.google.com/rss/articles/CBMiowFBVV95cUxQazBMVTRtMlpPNU13czlPUVYyb3Fwc21weS1mVkxqTnJieExZTWd6S1JKeURPZ3ZDMVA0d0JxeGFzQnBSSEh0ZFFlNE1vSGh6VE1RYVBjNEluSXN5bzYyWGFBZ3pyT3g0M2NzQkhKdWlDc0ozeUlQSmVjNlgxWjBJZjJyVXpqQ2JjMXViYnprZnBqT1VpeFYxUUhUVklBWWhvQjI4?oc=5,Beinsure; Reinsurance News; itij.com; citybiz; theinsurer.com; 01net; Insurance Business UK; Yahoo Finance Singapore
Inszone Insurance Services,https://insurtechdaily.io/company/inszone-insurance-services/,Radwick & Lightle,,,Acquisition,no,,,,2026-08-08,Coverager,https://coverager.com/inszone-acquires-washington-employee-benefits-agency-radwick-lightle/,
AXA XL,https://insurtechdaily.io/company/axa-xl/,S-RM,https://insurtechdaily.io/company/s-rm/,,Acquisition,no,,,,2026-08-07,Insurtech Insights,https://www.insurtechinsights.com/axa-xl-to-acquire-remaining-stake-in-cyber-security-consultancy-s-rm/,
Gallagher,https://insurtechdaily.io/company/gallagher/,APOLLO,https://insurtechdaily.io/company/apollo/,,Acquisition,no,,,,2026-08-06,Dealroom,https://news.google.com/rss/articles/CBMihgFBVV95cUxObGpiS0xUQ0EwLTJJX3o3TGpBZkZDa3lYcWxsS3FGM21WbkVySFUydE5LUEthWW5mTUZBWk4yZ2ZEQ0lPa3NFbElvZmpPdmhPN1M5dVJZRF9QM2o1eERfNWFacXFXanNfR3ZGeHFOVXhGZmgzUHl3blZKSHlNcjd1TWZlaHlHZw?oc=5,Insurance Journal; Insurance Business; Coverager; Beinsure; PR Newswire
Fairfax,https://insurtechdaily.io/company/fairfax/,Everest's Mexico insurance operations,,Everest,Asset purchase,no,,,,2026-08-06,Coverager,https://coverager.com/everest-to-sell-mexico-insurance-operations-to-fairfax/,Insurtech Insights
Federated Insurance,https://insurtechdaily.io/company/federated-insurance/,HDVI,https://insurtechdaily.io/company/hdvi/,,Acquisition,no,,,,2026-08-06,Insurance Journal,https://www.insurancejournal.com/news/midwest/2026/08/06/880597.htm,theinsurer.com; citybiz; Coverager
American Growth Insurance,https://insurtechdaily.io/company/american-growth-insurance/,Heller-Kowitz,https://insurtechdaily.io/company/heller-kowitz/,,Acquisition,no,,,,2026-08-06,Reinsurance News,https://www.reinsurancene.ws/agi-acquires-heller-kowitz-insurance-advisors/,Insurance Journal
AXIS Capital,https://insurtechdaily.io/company/axis-capital/,DUAL North America's Excess Liability business,,,Asset purchase,no,,,,2026-08-06,Reinsurance News,https://www.reinsurancene.ws/axis-to-acquire-renewal-rights-to-dual-north-americas-excess-liability-business/,
Zurich,https://insurtechdaily.io/company/zurich/,Beazley,https://insurtechdaily.io/company/beazley/,,Acquisition,no,,,,2026-08-06,Insurance Business UK,https://www.insurancebusinessmag.com/uk/news/breaking-news/zurich-posts-3-5bn-net-income-in-h1-2026-as-beazley-acquisition-moves-to-final-straight-585150.aspx,
Inszone Insurance Services,https://insurtechdaily.io/company/inszone-insurance-services/,Chelf Insurance Group,https://insurtechdaily.io/company/chelf-insurance-group/,,Acquisition,no,,,,2026-08-05,Insurance Journal,https://www.insurancejournal.com/news/southcentral/2026/08/05/880401.htm,Insurance Business
The Hartford,https://insurtechdaily.io/company/the-hartford/,Equitable's Employee Benefits business,,Equitable,Asset purchase,no,,,,2026-08-05,Insurance Journal,https://www.insurancejournal.com/news/national/2026/08/05/880356.htm,Carrier Management
Trucordia,https://insurtechdaily.io/company/trucordia/,Shipley & Pease Insurance,https://insurtechdaily.io/company/shipley-and-pease-insurance/,,Acquisition,no,,,,2026-08-04,Coverager,https://coverager.com/trucordia-acquires-shipley-pease-insurance/,
Radian,https://insurtechdaily.io/company/radian/,Inigo,https://insurtechdaily.io/company/inigo/,,Acquisition,yes,1700,1700,USD,2026-08-04,FinTech Global,https://news.google.com/rss/articles/CBMinAFBVV95cUxQNW4wNFZwbl80eG5yRThDY1IwOHhqTkhxNUh4MW1MSkxVdmY0TWJiSXhJSHRacVVNb3JzbV9QdTJXakx0M1Rqc1FjMVlGdERJOUpUamVsRUFNYXdXRUZzbDhOUGFLbjQ2ZHJ4VkVsTkxYM2d3RFNEQTR1aGZSNXRLX1FNNVI1R0lHdmQ1RFVuTUJCenE4NzBGUEFmc2M?oc=5,FinTech Global
American Family,https://insurtechdaily.io/company/american-family/,Bowhead Specialty,https://insurtechdaily.io/company/bowhead-specialty/,,Acquisition,yes,1200,1200,USD,2026-08-04,Carrier Management,https://www.carriermanagement.com/news/2026/08/03/290705.htm,Insurance Journal; Reinsurance News
DOXA,https://insurtechdaily.io/company/doxa/,LimitFi,https://insurtechdaily.io/company/limitfi/,,Asset purchase,no,,,,2026-08-03,Insurance Journal,https://www.insurancejournal.com/news/east/2026/08/03/880017.htm,
Miller,https://insurtechdaily.io/company/miller/,Shields,https://insurtechdaily.io/company/shields/,,Acquisition,no,,,,2026-08-03,Reinsurance News,https://www.reinsurancene.ws/miller-completes-acquisition-of-dubai-based-reinsurance-broker-shields/,
